"i","n","c","p","g","a","pr","s","e"
124806,"David McALLISTER","Německo","Christlich Demokratische Union Deutschlands","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",249,265,0,94
2327,"Linda McAVAN","Spojené království","Labour Party","Skupina progresivní aliance socialistů a demokratů v Evropském parlamentu",229,265,3,86.4
96919,"Emma McCLARKIN","Spojené království","Conservative Party","Skupina Evropských konzervativců a reformistů",190,265,8,71.7
28115,"Mairead McGUINNESS","Irsko","Fine Gael Party","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",240,265,5,90.6
111011,"Anthea McINTYRE","Spojené království","Conservative Party","Skupina Evropských konzervativců a reformistů",229,265,0,86.4
96824,"Monica MACOVEI","Rumunsko","Independent","Skupina Evropských konzervativců a reformistů",249,265,0,94
119436,"Ivana MALETIĆ","Chorvatsko","Hrvatska demokratska zajednica","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",245,265,0,92.5
111027,"Svetoslav Hristov MALINOV","Bulharsko","Democrats for Strong Bulgaria","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",260,265,0,98.1
125192,"Curzio MALTESE","Itálie","Lista Tsipras-L'Altra Europa","Skupina konfederace Evropské sjednocené levice a Severské zelené levice",214,265,0,80.8
124746,"Andrejs MAMIKINS","Lotyšsko","""Saskaņa"" sociāldemokrātiskā partija","Skupina progresivní aliance socialistů a demokratů v Evropském parlamentu",261,265,0,98.5
190713,"Lukas MANDL","Rakousko","Österreichische Volkspartei","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",62,69,0,89.9
39717,"Ramona Nicole MĂNESCU","Rumunsko","-","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",185,265,0,69.8
28192,"Vladimír MAŇKA","Slovensko","SMER-Sociálna demokracia","Skupina progresivní aliance socialistů a demokratů v Evropském parlamentu",265,265,0,100
1922,"Thomas MANN","Německo","Christlich Demokratische Union Deutschlands","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",261,265,0,98.5
124725,"Louis-Joseph MANSCOUR","Francie","Parti socialiste","Skupina progresivní aliance socialistů a demokratů v Evropském parlamentu",228,265,0,86
26146,"Florent MARCELLESI","Španělsko","EQUO","Skupina Zelených/Evropské svobodné aliance",127,136,0,93.4
125069,"Notis MARIAS","Řecko","Greece-The Alternative Road","Skupina Evropských konzervativců a reformistů",264,265,0,99.6
33982,"Marian-Jean MARINESCU","Rumunsko","Partidul Naţional Liberal","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",255,265,0,96.2
124742,"António MARINHO E PINTO","Portugalsko","Partido Democrático Republicano","Skupina Aliance liberálů a demokratů pro Evropu",248,265,0,93.6
1403,"David MARTIN","Spojené království","Labour Party","Skupina progresivní aliance socialistů a demokratů v Evropském parlamentu",256,265,3,96.6
124751,"Dominique MARTIN","Francie","Rassemblement national","Skupina Evropa národů a svobody",251,265,0,94.7
124947,"Edouard MARTIN","Francie","Parti socialiste","Skupina progresivní aliance socialistů a demokratů v Evropském parlamentu",260,265,0,98.1
124828,"Fulvio MARTUSCIELLO","Itálie","Forza Italia","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",234,265,0,88.3
124894,"Michał MARUSIK","Polsko","Kongres Nowej Prawicy","Skupina Evropa národů a svobody",232,265,11,87.5
23704,"Jiří MAŠTÁLKA","Česko","Komunistická strana Čech a Moravy","Skupina konfederace Evropské sjednocené levice a Severské zelené levice",176,265,51,66.4
96813,"Barbara MATERA","Itálie","Forza Italia","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",153,265,58,57.7
96820,"Marisa MATIAS","Portugalsko","Bloco de Esquerda","Skupina konfederace Evropské sjednocené levice a Severské zelené levice",241,265,8,90.9
96936,"Gabriel MATO","Španělsko","Partido Popular","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",250,265,1,94.3
188622,"Rupert MATTHEWS","Spojené království","Conservative Party","Skupina Evropských konzervativců a reformistů",78,90,0,86.7
133326,"Stefano MAULLU","Itálie","FRATELLI D' ITALIA","Skupina Evropských konzervativců a reformistů",165,206,0,80.1
24505,"Emmanuel MAUREL","Francie","Parti socialiste","Skupina konfederace Evropské sjednocené levice a Severské zelené levice",236,265,0,89.1
124691,"Costas MAVRIDES","Kypr","Democratic Party","Skupina progresivní aliance socialistů a demokratů v Evropském parlamentu",247,265,0,93.2
98341,"Eva MAYDELL","Bulharsko","Citizens for European Development of Bulgaria","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",198,265,26,74.7
38511,"Georg MAYER","Rakousko","Freiheitliche Partei Österreichs","Skupina Evropa národů a svobody",250,265,2,94.3
185637,"Alex MAYER","Spojené království","Labour Party","Skupina progresivní aliance socialistů a demokratů v Evropském parlamentu",125,132,0,94.7
124768,"Valentinas MAZURONIS","Litva","Independent","Skupina Aliance liberálů a demokratů pro Evropu",245,265,8,92.5
96870,"Gesine MEISSNER","Německo","Freie Demokratische Partei","Skupina Aliance liberálů a demokratů pro Evropu",253,265,0,95.5
124765,"Joëlle MÉLIN","Francie","Rassemblement national","Skupina Evropa národů a svobody",229,265,9,86.4
124838,"Susanne MELIOR","Německo","Sozialdemokratische Partei Deutschlands","Skupina progresivní aliance socialistů a demokratů v Evropském parlamentu",253,265,8,95.5
96978,"Nuno MELO","Portugalsko","Partido Popular","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",238,265,0,89.8
96663,"Morten MESSERSCHMIDT","Dánsko","Dansk Folkeparti","Skupina Evropských konzervativců a reformistů",174,265,41,65.7
124720,"Tamás MESZERICS","Maďarsko","Lehet Más A Politika","Skupina Zelených/Evropské svobodné aliance",207,265,0,78.1
118859,"Roberta METSOLA","Malta","Partit Nazzjonalista","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",238,265,11,89.8
193292,"Tilly METZ","Lucembursko","Déi Gréng - Les Verts","Skupina Zelených/Evropské svobodné aliance",31,36,0,86.1
190518,"Jörg MEUTHEN","Německo","Alternative für Deutschland","Skupina „Evropa Svobody a Přímé Demokracie“",65,74,0,87.8
96670,"Louis MICHEL","Belgie","Mouvement Réformateur","Skupina Aliance liberálů a demokratů pro Evropu",213,265,7,80.4
120478,"Martina MICHELS","Německo","DIE LINKE.","Skupina konfederace Evropské sjednocené levice a Severské zelené levice",229,265,24,86.4
125128,"Iskra MIHAYLOVA","Bulharsko","Movement for Rights and Freedoms","Skupina Aliance liberálů a demokratů pro Evropu",245,265,6,92.5
28178,"Miroslav MIKOLÁŠIK","Slovensko","Kresťanskodemokratické hnutie","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",247,265,0,93.2
28400,"Francisco José MILLÁN MON","Španělsko","Partido Popular","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",260,265,0,98.1
125022,"Matthijs van MILTENBURG","Nizozemsko","Democraten 66","Skupina Aliance liberálů a demokratů pro Evropu",262,265,0,98.9
125037,"Anne-Marie MINEUR","Nizozemsko","Socialistische Partij","Skupina konfederace Evropské sjednocené levice a Severské zelené levice",218,265,0,82.3
24942,"Ana MIRANDA","Španělsko","Bloque Nacionalista Galego","Skupina Zelených/Evropské svobodné aliance",44,56,0,78.6
191695,"Miroslavs MITROFANOVS","Lotyšsko","Latvijas Krievu savienība","Skupina Zelených/Evropské svobodné aliance",50,54,0,92.6
118858,"Marlene MIZZI","Malta","Partit Laburista","Skupina progresivní aliance socialistů a demokratů v Evropském parlamentu",231,265,11,87.2
125026,"Angelika MLINAR","Rakousko","NEOS – Das Neue Österreich","Skupina Aliance liberálů a demokratů pro Evropu",250,265,0,94.3
189391,"Baroness Nosheena MOBARIK","Spojené království","Conservative Party","Skupina Evropských konzervativců a reformistů",75,86,0,87.2
124859,"Giulia MOI","Itálie","Independent","Skupina „Evropa Svobody a Přímé Demokracie“",248,265,0,93.6
124789,"Sorin MOISĂ","Rumunsko","Independent","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",236,265,0,89.1
124722,"Csaba MOLNÁR","Maďarsko","Demokratikus Koalíció","Skupina progresivní aliance socialistů a demokratů v Evropském parlamentu",247,265,0,93.2
124761,"Bernard MONOT","Francie","Debout la France","Skupina „Evropa Svobody a Přímé Demokracie“",248,265,0,93.6
124734,"Cláudia MONTEIRO DE AGUIAR","Portugalsko","Partido Social Democrata","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",178,265,46,67.2
124769,"Sophie MONTEL","Francie","Indépendant","Nezařazení poslanci",245,265,0,92.5
124944,"Clare MOODY","Spojené království","Labour Party","Skupina progresivní aliance socialistů a demokratů v Evropském parlamentu",221,265,0,83.4
4519,"Claude MORAES","Spojené království","Labour Party","Skupina progresivní aliance socialistů a demokratů v Evropském parlamentu",246,265,1,92.8
72779,"Nadine MORANO","Francie","Les Républicains","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",216,265,1,81.5
124788,"Luigi MORGANO","Itálie","Partito Democratico","Skupina progresivní aliance socialistů a demokratů v Evropském parlamentu",261,265,0,98.5
38596,"Elisabeth MORIN-CHARTIER","Francie","Indépendant","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",262,265,1,98.9
96661,"Krisztina MORVAI","Maďarsko","-","Nezařazení poslanci",131,265,35,49.4
124868,"Alessia Maria MOSCA","Itálie","Partito Democratico","Skupina progresivní aliance socialistů a demokratů v Evropském parlamentu",181,265,40,68.3
124862,"Ulrike MÜLLER","Německo","Freie Wähler","Skupina Aliance liberálů a demokratů pro Evropu",241,265,0,90.9
124802,"Siegfried MUREŞAN","Rumunsko","Partidul Naţional Liberal","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",254,265,0,95.8
124729,"Renaud MUSELIER","Francie","Les Républicains","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",169,265,13,63.8
28429,"Alessandra MUSSOLINI","Itálie","Independent","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",174,265,16,65.7
190519,"Caroline NAGTEGAAL","Nizozemsko","Volkspartij voor Vrijheid en Democratie","Skupina Aliance liberálů a demokratů pro Evropu",71,73,0,97.3
124926,"József NAGY","Slovensko","MOST - HÍD","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",249,265,1,94
125005,"Javier NART","Španělsko","Ciudadanos – Partido de la Ciudadanía","Skupina Aliance liberálů a demokratů pro Evropu",200,265,16,75.5
125013,"Momchil NEKOV","Bulharsko","Bulgarian Socialist Party","Skupina progresivní aliance socialistů a demokratů v Evropském parlamentu",234,265,4,88.3
96844,"Norbert NEUSER","Německo","Sozialdemokratische Partei Deutschlands","Skupina progresivní aliance socialistů a demokratů v Evropském parlamentu",253,265,0,95.5
124784,"Dan NICA","Rumunsko","Partidul Social Democrat","Skupina progresivní aliance socialistů a demokratů v Evropském parlamentu",233,265,0,87.9
1318,"James NICHOLSON","Spojené království","Ulster Unionist Party","Skupina Evropských konzervativců a reformistů",252,265,0,95.1
96825,"Norica NICOLAI","Rumunsko","ALDE Romania","Skupina Aliance liberálů a demokratů pro Evropu",252,265,0,95.1
4289,"Angelika NIEBLER","Německo","Christlich-Soziale Union in Bayern e.V.","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",253,265,0,95.5
124701,"Luděk NIEDERMAYER","Česko","TOP 09 a Starostové","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",255,265,0,96.2
124723,"Péter NIEDERMÜLLER","Maďarsko","Demokratikus Koalíció","Skupina progresivní aliance socialistů a demokratů v Evropském parlamentu",244,265,0,92.1
124987,"Liadh NÍ RIADA","Irsko","Sinn Féin","Skupina konfederace Evropské sjednocené levice a Severské zelené levice",199,265,4,75.1
28165,"Lambert van NISTELROOIJ","Nizozemsko","Christen Democratisch Appèl","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",237,265,3,89.4
124836,"Maria NOICHL","Německo","Sozialdemokratische Partei Deutschlands","Skupina progresivní aliance socialistů a demokratů v Evropském parlamentu",249,265,0,94
107212,"Andrey NOVAKOV","Bulharsko","Citizens for European Development of Bulgaria","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",227,248,4,91.5
96805,"Paul NUTTALL","Spojené království","The Brexit Party","Skupina „Evropa Svobody a Přímé Demokracie“",168,265,0,63.4
96981,"Franz OBERMAYR","Rakousko","Freiheitliche Partei Österreichs","Skupina Evropa národů a svobody",254,265,6,95.8
124940,"Patrick O'FLYNN","Spojené království","Social Democratic Party","Skupina „Evropa Svobody a Přímé Demokracie“",229,265,0,86.4
28288,"Jan OLBRYCHT","Polsko","Platforma Obywatelska","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",242,265,10,91.3
30482,"Younous OMARJEE","Francie","L'union pour les Outremer","Skupina konfederace Evropské sjednocené levice a Severské zelené levice",233,265,4,87.9
124897,"Stanisław OŻÓG","Polsko","Prawo i Sprawiedliwość","Skupina Evropských konzervativců a reformistů",256,265,8,96.6
195454,"Ralph PACKET","Belgie","Nieuw-Vlaamse Alliantie","Skupina Evropských konzervativců a reformistů",14,16,0,87.5
97025,"Ivari PADAR","Estonsko","Sotsiaaldemokraatlik Erakond","Skupina progresivní aliance socialistů a demokratů v Evropském parlamentu",62,74,0,83.8
129073,"Urmas PAET","Estonsko","Eesti Reformierakond","Skupina Aliance liberálů a demokratů pro Evropu",221,250,0,88.4
125038,"Maite PAGAZAURTUNDÚA RUIZ","Španělsko","Unión, Progreso y Democracia","Skupina Aliance liberálů a demokratů pro Evropu",243,265,1,91.7
96694,"Rolandas PAKSAS","Litva","Partija Tvarka ir teisingumas","Skupina „Evropa Svobody a Přímé Demokracie“",216,265,10,81.5
190099,"Rory PALMER","Spojené království","Labour Party","Skupina progresivní aliance socialistů a demokratů v Evropském parlamentu",72,81,4,88.9
28365,"Pier Antonio PANZERI","Itálie","Articolo UNO – Movimento Democratico e Progressista","Skupina progresivní aliance socialistů a demokratů v Evropském parlamentu",256,265,2,96.6
124849,"Massimo PAOLUCCI","Itálie","Articolo UNO – Movimento Democratico e Progressista","Skupina progresivní aliance socialistů a demokratů v Evropském parlamentu",211,265,0,79.6
124692,"Demetris PAPADAKIS","Kypr","Movement for Social Democracy EDEK","Skupina progresivní aliance socialistů a demokratů v Evropském parlamentu",235,265,0,88.7
125093,"Konstantinos PAPADAKIS","Řecko","Communist Party of Greece","Nezařazení poslanci",227,265,0,85.7
28586,"Dimitrios PAPADIMOULIS","Řecko","Coalition of the Radical Left","Skupina konfederace Evropské sjednocené levice a Severské zelené levice",264,265,0,99.6
96948,"Gilles PARGNEAUX","Francie","Parti socialiste","Skupina progresivní aliance socialistů a demokratů v Evropském parlamentu",209,265,0,78.9
124945,"Margot PARKER","Spojené království","United Kingdom Independence Party","Skupina „Evropa Svobody a Přímé Demokracie“",210,265,18,79.2
33984,"Ioan Mircea PAŞCU","Rumunsko","Partidul Social Democrat","Skupina progresivní aliance socialistů a demokratů v Evropském parlamentu",256,265,0,96.6
36392,"Aldo PATRICIELLO","Itálie","Forza Italia","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",132,265,21,49.8
129256,"Emilian PAVEL","Rumunsko","Partidul Social Democrat","Skupina progresivní aliance socialistů a demokratů v Evropském parlamentu",229,250,0,91.6
189507,"Jiří PAYNE","Česko","Strana svobodných občanů","Skupina „Evropa Svobody a Přímé Demokracie“",77,86,0,89.5
124844,"Piernicola PEDICINI","Itálie","Movimento 5 Stelle","Skupina „Evropa Svobody a Přímé Demokracie“",258,265,0,97.4
28166,"Vincent PEILLON","Francie","Parti socialiste","Skupina progresivní aliance socialistů a demokratů v Evropském parlamentu",239,265,0,90.2
23693,"Alojz PETERLE","Slovinsko","Nova Slovenija – Krščanski demokrati","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",236,265,0,89.1
124872,"Morten Helveg PETERSEN","Dánsko","Det Radikale Venstre","Skupina Aliance liberálů a demokratů pro Evropu",238,265,0,89.8
124749,"Marijana PETIR","Chorvatsko","Independent","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",256,265,0,96.6
110977,"Florian PHILIPPOT","Francie","Les Patriotes","Skupina „Evropa Svobody a Přímé Demokracie“",161,265,0,60.8
124846,"Pina PICIERNO","Itálie","Partito Democratico","Skupina progresivní aliance socialistů a demokratů v Evropském parlamentu",195,265,43,73.6
112744,"Tonino PICULA","Chorvatsko","Socijaldemokratska partija Hrvatske","Skupina progresivní aliance socialistů a demokratů v Evropském parlamentu",249,265,0,94
124874,"Bolesław G. PIECHA","Polsko","Prawo i Sprawiedliwość","Skupina Evropských konzervativců a reformistů",256,265,2,96.6
28224,"Markus PIEPER","Německo","Christlich Demokratische Union Deutschlands","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",251,265,0,94.7
40599,"Sirpa PIETIKÄINEN","Finsko","Kansallinen Kokoomus","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",215,265,13,81.1
136236,"João PIMENTA LOPES","Portugalsko","Partido Comunista Português","Skupina konfederace Evropské sjednocené levice a Severské zelené levice",171,177,0,96.6
28341,"Mirosław PIOTROWSKI","Polsko","Niezależny","Skupina Evropských konzervativců a reformistů",263,265,0,99.2
37229,"Kati PIRI","Nizozemsko","Partij van de Arbeid","Skupina progresivní aliance socialistů a demokratů v Evropském parlamentu",225,265,0,84.9
124855,"Georgi PIRINSKI","Bulharsko","Bulgarian Socialist Party","Skupina progresivní aliance socialistů a demokratů v Evropském parlamentu",242,265,0,91.3
124898,"Julia PITERA","Polsko","Platforma Obywatelska","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",262,265,0,98.9
124881,"Marek PLURA","Polsko","Platforma Obywatelska","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",247,265,0,93.2
96715,"Pavel POC","Česko","Česká strana sociálně demokratická","Skupina progresivní aliance socialistů a demokratů v Evropském parlamentu",260,265,0,98.1
124699,"Miroslav POCHE","Česko","Česká strana sociálně demokratická","Skupina progresivní aliance socialistů a demokratů v Evropském parlamentu",224,265,4,84.5
124704,"Stanislav POLČÁK","Česko","Starostové a nezávisli","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",257,265,0,97
96931,"Maurice PONGA","Francie","Les Républicains","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",176,265,50,66.4
189490,"Răzvan POPA","Rumunsko","Partidul Social Democrat","Skupina progresivní aliance socialistů a demokratů v Evropském parlamentu",82,84,0,97.6
96801,"Tomasz Piotr PORĘBA","Polsko","Prawo i Sprawiedliwość","Skupina Evropských konzervativců a reformistů",234,265,0,88.3
125706,"Jiří POSPÍŠIL","Česko","TOP 09 a Starostové","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",226,265,0,85.3
124997,"Soraya POST","Švédsko","Feministiskt initiativ","Skupina progresivní aliance socialistů a demokratů v Evropském parlamentu",243,265,1,91.7
96838,"Cristian Dan PREDA","Rumunsko","Partidul Libertate, Unitate și Solidaritate","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",265,265,0,100
124830,"Marcus PRETZELL","Německo","Die blaue Partei","Skupina Evropa národů a svobody",221,265,0,83.4
124888,"Gabriele PREUSS","Německo","Sozialdemokratische Partei Deutschlands","Skupina progresivní aliance socialistů a demokratů v Evropském parlamentu",257,265,0,97
185628,"John PROCTER","Spojené království","Conservative Party","Skupina Evropských konzervativců a reformistů",111,132,0,84.1
108080,"Franck PROUST","Francie","Les Républicains","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",245,265,1,92.5
90110,"Carolina PUNSET","Španělsko","Independiente","Skupina Aliance liberálů a demokratů pro Evropu",98,175,64,56
1055,"Godelieve QUISTHOUDT-ROWOHL","Německo","Christlich Demokratische Union Deutschlands","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",203,265,13,76.6
124850,"Emil RADEV","Bulharsko","Citizens for European Development of Bulgaria","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",213,265,4,80.4
112753,"Jozo RADOŠ","Chorvatsko","Građansko-liberalni savez","Skupina Aliance liberálů a demokratů pro Evropu",255,265,0,96.2
188945,"Dennis RADTKE","Německo","Christlich Demokratische Union Deutschlands","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",79,86,0,91.9
96903,"Paulo RANGEL","Portugalsko","Partido Social Democrata","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",234,265,0,88.3
124792,"Laurenţiu REBEGA","Rumunsko","PRO Romania","Skupina Evropských konzervativců a reformistů",217,265,2,81.9
124816,"Julia REDA","Německo","Piratenpartei Deutschland","Skupina Zelených/Evropské svobodné aliance",241,265,0,90.9
96998,"Evelyn REGNER","Rakousko","Sozialdemokratische Partei Österreichs","Skupina progresivní aliance socialistů a demokratů v Evropském parlamentu",256,265,3,96.6
106202,"Julia REID","Spojené království","The Brexit Party","Skupina „Evropa Svobody a Přímé Demokracie“",230,265,0,86.8
124935,"Michel REIMON","Rakousko","Die Grünen - Die Grüne Alternative","Skupina Zelených/Evropské svobodné aliance",246,265,0,92.8
103381,"Terry REINTKE","Německo","Bündnis 90/Die Grünen","Skupina Zelených/Evropské svobodné aliance",248,265,1,93.6
124287,"Christine REVAULT D'ALLONNES BONNEFOY","Francie","Parti socialiste","Skupina progresivní aliance socialistů a demokratů v Evropském parlamentu",245,265,0,92.5
124733,"Sofia RIBEIRO","Portugalsko","Partido Social Democrata","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",257,265,0,97
4253,"Frédérique RIES","Belgie","Mouvement Réformateur","Skupina Aliance liberálů a demokratů pro Evropu",248,265,0,93.6
96885,"Dominique RIQUET","Francie","Mouvement Radical Social-Libéral","Skupina Aliance liberálů a demokratů pro Evropu",261,265,0,98.5
96743,"Michèle RIVASI","Francie","Europe Écologie","Skupina Zelených/Evropské svobodné aliance",221,265,4,83.4
97022,"Robert ROCHEFORT","Francie","Mouvement Démocrate","Skupina Aliance liberálů a demokratů pro Evropu",238,265,22,89.8
125099,"Liliana RODRIGUES","Portugalsko","Partido Socialista","Skupina progresivní aliance socialistů a demokratů v Evropském parlamentu",255,265,0,96.2
124737,"Maria João RODRIGUES","Portugalsko","Partido Socialista","Skupina progresivní aliance socialistů a demokratů v Evropském parlamentu",242,265,0,91.3
125043,"Inmaculada RODRÍGUEZ-PIÑERO FERNÁNDEZ","Španělsko","Partido Socialista Obrero Español","Skupina progresivní aliance socialistů a demokratů v Evropském parlamentu",241,265,9,90.9
93624,"Ulrike RODUST","Německo","Sozialdemokratische Partei Deutschlands","Skupina progresivní aliance socialistů a demokratů v Evropském parlamentu",250,265,1,94.3
96710,"Jens ROHDE","Dánsko","Det Radikale Venstre","Skupina Aliance liberálů a demokratů pro Evropu",213,265,0,80.4
125107,"Claude ROLIN","Belgie","Centre Démocrate Humaniste","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",265,265,0,100
125214,"Bronis ROPĖ","Litva","Lietuvos valstiečių ir žaliųjų sąjunga","Skupina Zelených/Evropské svobodné aliance",257,265,0,97
28394,"Dariusz ROSATI","Polsko","Platforma Obywatelska","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",252,265,0,95.1
103845,"Virginie ROZIÈRE","Francie","Les radicaux de Gauche","Skupina progresivní aliance socialistů a demokratů v Evropském parlamentu",232,265,0,87.5
124730,"Fernando RUAS","Portugalsko","Partido Social Democrata","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",257,265,0,97
2278,"Paul RÜBIG","Rakousko","Österreichische Volkspartei","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",256,265,2,96.6
132366,"Pirkko RUOHONEN-LERNER","Finsko","Perussuomalaiset","Skupina Evropských konzervativců a reformistů",204,224,11,91.1
111033,"Kārlis ŠADURSKIS","Lotyšsko","Partija ""VIENOTĪBA""","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",15,16,0,93.8
4345,"Tokia SAÏFI","Francie","Agir - La Droite constructive","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",239,265,0,90.2
125091,"Sofia SAKORAFA","Řecko","MeRA25","Skupina konfederace Evropské sjednocené levice a Severské zelené levice",246,265,0,92.8
2002,"José Ignacio SALAFRANCA SÁNCHEZ-NEYRA","Španělsko","Partido Popular","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",113,122,0,92.6
125670,"Massimiliano SALINI","Itálie","Forza Italia","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",263,265,0,99.2
125035,"Lola SÁNCHEZ CALDENTEY","Španělsko","PODEMOS","Skupina konfederace Evropské sjednocené levice a Severské zelené levice",229,265,2,86.4
24594,"Anne SANDER","Francie","Les Républicains","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",262,265,0,98.9
124781,"Alfred SANT","Malta","Partit Laburista","Skupina progresivní aliance socialistů a demokratů v Evropském parlamentu",262,265,0,98.9
21918,"Manuel dos SANTOS","Portugalsko","Partido Socialista","Skupina progresivní aliance socialistů a demokratů v Evropském parlamentu",147,149,0,98.7
33989,"Daciana Octavia SÂRBU","Rumunsko","PRO Romania","Skupina progresivní aliance socialistů a demokratů v Evropském parlamentu",202,265,0,76.2
96815,"Judith SARGENTINI","Nizozemsko","GroenLinks","Skupina Zelených/Evropské svobodné aliance",245,265,0,92.5
112611,"Petri SARVAMAA","Finsko","Kansallinen Kokoomus","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",215,265,0,81.1
28297,"Jacek SARYUSZ-WOLSKI","Polsko","Bezpartyjny","Nezařazení poslanci",223,265,24,84.2
96864,"David-Maria SASSOLI","Itálie","Partito Democratico","Skupina progresivní aliance socialistů a demokratů v Evropském parlamentu",236,265,2,89.1
96696,"Algirdas SAUDARGAS","Litva","Tėvynės sąjunga-Lietuvos krikščionys demokratai","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",235,265,8,88.7
96945,"Marietje SCHAAKE","Nizozemsko","Democraten 66","Skupina Aliance liberálů a demokratů pro Evropu",245,265,2,92.5
124755,"Jean-Luc SCHAFFHAUSER","Francie","Rassemblement bleu Marine","Skupina Evropa národů a svobody",254,265,0,95.8
37312,"Christel SCHALDEMOSE","Dánsko","Socialdemokratiet","Skupina progresivní aliance socialistů a demokratů v Evropském parlamentu",264,265,0,99.6
190517,"Martin SCHIRDEWAN","Německo","DIE LINKE.","Skupina konfederace Evropské sjednocené levice a Severské zelené levice",67,74,0,90.5
124804,"Elly SCHLEIN","Itálie","-","Skupina progresivní aliance socialistů a demokratů v Evropském parlamentu",253,265,0,95.5
125016,"Claudia SCHMIDT","Rakousko","Österreichische Volkspartei","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",262,265,0,98.9
96646,"Helmut SCHOLZ","Německo","DIE LINKE.","Skupina konfederace Evropské sjednocené levice a Severské zelené levice",252,265,8,95.1
28135,"György SCHÖPFLIN","Maďarsko","Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",258,265,4,97.4
125030,"Annie SCHREIJER-PIERIK","Nizozemsko","Christen Democratisch Appèl","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",234,265,0,88.3
124809,"Sven SCHULZE","Německo","Christlich Demokratische Union Deutschlands","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",245,265,0,92.5
124837,"Joachim SCHUSTER","Německo","Sozialdemokratische Partei Deutschlands","Skupina progresivní aliance socialistů a demokratů v Evropském parlamentu",250,265,0,94.3
28223,"Andreas SCHWAB","Německo","Christlich Demokratische Union Deutschlands","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",258,265,0,97.4
124942,"Molly SCOTT CATO","Spojené království","Green Party","Skupina Zelených/Evropské svobodné aliance",241,265,0,90.9
96996,"Giancarlo SCOTTÀ","Itálie","Lega Nord","Skupina Evropa národů a svobody",46,49,0,93.9
