"i","n","c","p","g","a","pr","s","e"
96744,"José BOVÉ","Francie","Europe Écologie","Skupina Zelených/Evropské svobodné aliance",242,265,4,91.3
124984,"Lynn BOYLAN","Irsko","Sinn Féin","Skupina konfederace Evropské sjednocené levice a Severské zelené levice",205,265,0,77.4
124954,"Paul BRANNEN","Spojené království","Labour Party","Skupina progresivní aliance socialistů a demokratů v Evropském parlamentu",232,265,0,87.5
28346,"Mercedes BRESSO","Itálie","Partito Democratico","Skupina progresivní aliance socialistů a demokratů v Evropském parlamentu",242,265,0,91.3
124787,"Renata BRIANO","Itálie","Partito Democratico","Skupina progresivní aliance socialistů a demokratů v Evropském parlamentu",261,265,0,98.5
124757,"Steeve BRIOIS","Francie","Rassemblement national","Skupina Evropa národů a svobody",239,265,0,90.2
1263,"Elmar BROK","Německo","Christlich Demokratische Union Deutschlands","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",236,265,0,89.1
124818,"Klaus BUCHNER","Německo","Ökologisch-Demokratische Partei","Skupina Zelených/Evropské svobodné aliance",240,265,8,90.6
125012,"Daniel BUDA","Rumunsko","Partidul Naţional Liberal","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",259,265,0,97.7
4267,"Udo BULLMANN","Německo","Sozialdemokratische Partei Deutschlands","Skupina progresivní aliance socialistů a demokratů v Evropském parlamentu",246,265,0,92.8
188733,"Jonathan BULLOCK","Spojené království","The Brexit Party","Skupina „Evropa Svobody a Přímé Demokracie“",79,86,0,91.9
38420,"Cristian-Silviu BUŞOI","Rumunsko","Partidul Naţional Liberal","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",201,265,0,75.8
96739,"Reinhard BÜTIKOFER","Německo","Bündnis 90/Die Grünen","Skupina Zelených/Evropské svobodné aliance",194,265,0,73.2
28269,"Jerzy BUZEK","Polsko","Platforma Obywatelska","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",237,265,1,89.4
125041,"Soledad CABEZÓN RUIZ","Španělsko","Partido Socialista Obrero Español","Skupina progresivní aliance socialistů a demokratů v Evropském parlamentu",243,265,4,91.7
96849,"Alain CADEC","Francie","Les Républicains","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",247,265,4,93.2
129407,"Enrique CALVET CHAMBON","Španělsko","Independiente","Skupina Aliance liberálů a demokratů pro Evropu",238,248,0,96
96754,"Wim van de CAMP","Nizozemsko","Christen Democratisch Appèl","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",252,265,0,95.1
96912,"David CAMPBELL BANNERMAN","Spojené království","Conservative Party","Skupina Evropských konzervativců a reformistů",192,265,4,72.5
124851,"Nicola CAPUTO","Itálie","Partito Democratico","Skupina progresivní aliance socialistů a demokratů v Evropském parlamentu",263,265,0,99.2
124986,"Matt CARTHY","Irsko","Sinn Féin","Skupina konfederace Evropské sjednocené levice a Severské zelené levice",244,265,0,92.1
124971,"James CARVER","Spojené království","Independent","Skupina „Evropa Svobody a Přímé Demokracie“",239,265,4,90.2
28122,"David CASA","Malta","Partit Nazzjonalista","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",240,265,1,90.6
28219,"Daniel CASPARY","Německo","Christlich Demokratische Union Deutschlands","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",255,265,0,96.2
124812,"Fabio Massimo CASTALDO","Itálie","Movimento 5 Stelle","Skupina „Evropa Svobody a Přímé Demokracie“",251,265,4,94.7
28390,"Pilar del CASTILLO VERA","Španělsko","Partido Popular","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",217,265,0,81.9
28206,"Jean-Marie CAVADA","Francie","Génération Citoyens","Skupina Aliance liberálů a demokratů pro Evropu",251,265,3,94.7
28451,"Lorenzo CESA","Itálie","Unione di Centro","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",165,265,17,62.3
124708,"Dita CHARANZOVÁ","Česko","ANO 2011","Skupina Aliance liberálů a demokratů pro Evropu",260,265,0,98.1
124752,"Aymeric CHAUPRADE","Francie","Les Français Libres","Skupina „Evropa Svobody a Přímé Demokracie“",251,265,0,94.7
96603,"Nessa CHILDERS","Irsko","Independent","Skupina progresivní aliance socialistů a demokratů v Evropském parlamentu",235,265,2,88.7
124861,"Caterina CHINNICI","Itálie","Partito Democratico","Skupina progresivní aliance socialistů a demokratů v Evropském parlamentu",253,265,4,95.5
26851,"Nikolaos CHOUNTIS","Řecko","Popular Unity","Skupina konfederace Evropské sjednocené levice a Severské zelené levice",203,206,0,98.5
28154,"Ole CHRISTENSEN","Dánsko","Socialdemokratiet","Skupina progresivní aliance socialistů a demokratů v Evropském parlamentu",232,265,14,87.5
26837,"Lefteris CHRISTOFOROU","Kypr","Democratic Rally","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",239,250,0,95.6
125061,"Kostas CHRYSOGONOS","Řecko","Independent","Skupina konfederace Evropské sjednocené levice a Severské zelené levice",233,265,0,87.9
124854,"Salvatore CICU","Itálie","Forza Italia","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",250,265,0,94.3
183793,"Angelo CIOCCA","Itálie","Lega Nord","Skupina Evropa národů a svobody",110,145,0,75.9
124772,"Alberto CIRIO","Itálie","Forza Italia","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",235,265,0,88.7
124988,"Deirdre CLUNE","Irsko","Fine Gael Party","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",242,265,0,91.3
124967,"David COBURN","Spojené království","The Brexit Party","Skupina „Evropa Svobody a Přímé Demokracie“",232,265,0,87.5
1892,"Carlos COELHO","Portugalsko","Partido Social Democrata","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",256,265,4,96.6
96915,"Sergio Gaetano COFFERATI","Itálie","Sinistra Italiana","Skupina progresivní aliance socialistů a demokratů v Evropském parlamentu",221,265,14,83.4
112788,"Birgit COLLIN-LANGEN","Německo","Christlich Demokratische Union Deutschlands","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",256,265,0,96.6
124955,"Jane COLLINS","Spojené království","United Kingdom Independence Party","Skupina Evropa národů a svobody",190,265,16,71.7
191510,"Jacques COLOMBIER","Francie","Rassemblement national","Skupina Evropa národů a svobody",52,60,0,86.7
96775,"Lara COMI","Itálie","Forza Italia","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",223,265,24,84.2
96674,"Anna Maria CORAZZA BILDT","Švédsko","Moderaterna","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",211,265,0,79.6
2309,"Richard CORBETT","Spojené království","Labour Party","Skupina progresivní aliance socialistů a demokratů v Evropském parlamentu",254,265,0,95.8
4338,"Thierry CORNILLET","Francie","Mouvement Radical","Skupina Aliance liberálů a demokratů pro Evropu",86,97,0,88.7
124856,"Ignazio CORRAO","Itálie","Movimento 5 Stelle","Skupina „Evropa Svobody a Přímé Demokracie“",251,265,5,94.7
96917,"Silvia COSTA","Itálie","Partito Democratico","Skupina progresivní aliance socialistů a demokratů v Evropském parlamentu",242,265,0,91.3
125997,"Javier COUSO PERMUY","Španělsko","Independiente","Skupina konfederace Evropské sjednocené levice a Severské zelené levice",228,261,2,87.4
96880,"Andrea COZZOLINO","Itálie","Partito Democratico","Skupina progresivní aliance socialistů a demokratů v Evropském parlamentu",227,265,1,85.7
28238,"Michael CRAMER","Německo","Bündnis 90/Die Grünen","Skupina Zelených/Evropské svobodné aliance",248,265,5,93.6
40224,"Andi CRISTEA","Rumunsko","Partidul Social Democrat","Skupina progresivní aliance socialistů a demokratů v Evropském parlamentu",247,265,0,93.2
2109,"Brian CROWLEY","Irsko","Fianna Fáil Party","Skupina Evropských konzervativců a reformistů",2,265,263,0.8
124930,"Pál CSÁKY","Slovensko","Strana mad'arskej komunity- Magyar Közösség Pártja","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",259,265,0,97.7
28372,"Ryszard CZARNECKI","Polsko","Prawo i Sprawiedliwość","Skupina Evropských konzervativců a reformistů",250,265,1,94.3
132925,"Edward CZESAK","Polsko","Prawo i Sprawiedliwość","Skupina Evropských konzervativců a reformistů",209,212,0,98.6
96809,"Peter van DALEN","Nizozemsko","ChristenUnie","Skupina Evropských konzervativců a reformistů",254,265,0,95.8
124970,"Miriam DALLI","Malta","Partit Laburista","Skupina progresivní aliance socialistů a demokratů v Evropském parlamentu",244,265,8,92.1
